,,SMILES,logS(mol/kg),T(?),T(K),Water density (g/cm^3),,
1204,sample_1205,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-4.16,25,298.15,0.997,,
1205,sample_1206,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,-4.17,25,298.15,0.997,,
1206,sample_1207,ClC(Cl)=CC(Cl)=C(Cl)Cl,-4.23,25,298.15,0.997,,
1207,sample_1208,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,-4.26,25,298.15,0.997,,
1208,sample_1209,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-4.28,25,298.15,0.997,,
1209,sample_1210,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28,25,298.15,0.997,,
1210,sample_1211,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-4.29,25,298.15,0.997,,
1211,sample_1212,CCc1ccc2ccccc2c1,-4.29,25,298.15,0.997,,
1212,sample_1213,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.30,25,298.15,0.997,,
1213,sample_1214,CN(C)CCCN1c2ccccc2Sc2ccccc21,-4.30,25,298.15,0.997,,
1214,sample_1215,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.31,25,298.15,0.997,,
1215,sample_1216,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,-4.32,25,298.15,0.997,,
1216,sample_1217,c1ccc2c(c1)sc1ccccc12,-4.38,25,298.15,0.997,,
1217,sample_1218,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,-4.38,25,298.15,0.997,,
1218,sample_1219,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,25,298.15,0.997,,
1219,sample_1220,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.43,25,298.15,0.997,,
1220,sample_1221,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-4.43,25,298.15,0.997,,
1221,sample_1222,CCCCCCCBr,-4.43,25,298.15,0.997,,
1222,sample_1223,CN(C)CCC=C1c2ccccc2CCc2ccccc21,-4.46,25,298.15,0.997,,
1223,sample_1224,CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],-4.47,25,298.15,0.997,,
1224,sample_1225,Clc1cc(Cl)cc(Cl)c1,-4.48,25,298.15,0.997,,
1225,sample_1226,CC1CCC(C)(C)C1,-4.48,25,298.15,0.997,,
1226,sample_1227,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-4.52,25,298.15,0.997,,
1227,sample_1228,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-4.53,25,298.15,0.997,,
1228,sample_1229,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,25,298.15,0.997,,
1229,sample_1230,CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.58,25,298.15,0.997,,
1230,sample_1231,O=c1oc(-c2ccccc2)nc2ccccc12,-4.61,25,298.15,0.997,,
1231,sample_1232,c1ccc(CCc2ccccc2)cc1,-4.62,25,298.15,0.997,,
1232,sample_1233,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.63,25,298.15,0.997,,
1233,sample_1234,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65,25,298.15,0.997,,
1234,sample_1235,Cc1cc2ccccc2cc1C,-4.72,25,298.15,0.997,,
1235,sample_1236,Oc1c2ccccc2cc2ccccc12,-4.73,25,298.15,0.997,,
1236,sample_1237,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.79,25,298.15,0.997,,
1237,sample_1238,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,-4.82,25,298.15,0.997,,
1238,sample_1239,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-4.84,25,298.15,0.997,,
1239,sample_1240,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,-4.88,25,298.15,0.997,,
1240,sample_1241,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,-4.89,25,298.15,0.997,,
1241,sample_1242,Cc1ccc2cc(C)ccc2c1,-4.89,25,298.15,0.997,,
1242,sample_1243,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.91,25,298.15,0.997,,
1243,sample_1244,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],-5.16,25,298.15,0.997,,
1244,sample_1245,Clc1ccc(-c2ccccc2)cc1,-5.20,25,298.15,0.997,,
1245,sample_1246,CCCCCCc1ccccc1,-5.21,25,298.15,0.997,,
1246,sample_1247,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,-5.24,25,298.15,0.997,,
1247,sample_1248,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,-5.24,25,298.15,0.997,,
1248,sample_1249,c1ccc2c(c1)ccc1ccccc12,-5.26,25,298.15,0.997,,
1249,sample_1250,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,-5.38,25,298.15,0.997,,
1250,sample_1251,OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-5.46,25,298.15,0.997,,
1251,sample_1252,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,25,298.15,0.997,,
1252,sample_1253,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.68,25,298.15,0.997,,
1253,sample_1254,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.74,25,298.15,0.997,,
1254,sample_1255,Clc1cccc(-c2cccc(Cl)c2)c1,-5.80,25,298.15,0.997,,
1255,sample_1256,Cc1c2ccccc2cc2ccccc12,-5.89,25,298.15,0.997,,
1256,sample_1257,c1cc2c3c(ccc4c3c1CCC4)CCC2,-5.96,25,298.15,0.997,,
1257,sample_1258,Clc1ccc(Cl)c(-c2ccccc2Cl)c1,-6.02,25,298.15,0.997,,
1258,sample_1259,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09,25,298.15,0.997,,
1259,sample_1260,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.18,25,298.15,0.997,,
1260,sample_1261,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,-6.21,25,298.15,0.997,,
1261,sample_1262,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,-6.29,25,298.15,0.997,,
1262,sample_1263,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,-6.29,25,298.15,0.997,,
1263,sample_1264,Clc1ccc(Cl)c(-c2ccccc2)c1Cl,-6.29,25,298.15,0.997,,
1264,sample_1265,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-6.32,25,298.15,0.997,,
1265,sample_1266,Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,-6.51,25,298.15,0.997,,
1266,sample_1267,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,-6.62,25,298.15,0.997,,
1267,sample_1268,Cc1cc(O)ccc1OP(=O)(Oc1cc(O)ccc1C)Oc1c(C)cccc1O,-6.70,25,298.15,0.997,,
1268,sample_1269,CCCCCCCCCCCCCCCC(=O)O,-6.81,25,298.15,0.997,,
1269,sample_1270,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89,25,298.15,0.997,,
1270,sample_1271,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96,25,298.15,0.997,,
1271,sample_1272,Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,-7.00,25,298.15,0.997,,
1272,sample_1273,Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,-7.05,25,298.15,0.997,,
1273,sample_1274,Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,-7.16,25,298.15,0.997,,
1274,sample_1275,CCCCCCCCCCCCCCCCO,-7.26,25,298.15,0.997,,
1275,sample_1276,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-7.33,25,298.15,0.997,,
1276,sample_1277,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,-7.80,25,298.15,0.997,,
1277,sample_1278,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,-7.91,25,298.15,0.997,,
1278,sample_1279,c1ccc2c(c1)Cc1cc3ccccc3cc1-2,-8.04,25,298.15,0.997,,
1279,sample_1280,c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.06,25,298.15,0.997,,
1280,sample_1281,Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-8.30,25,298.15,0.997,,
1281,sample_1282,Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,-8.32,25,298.15,0.997,,
1282,sample_1283,Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl,-8.42,25,298.15,0.997,,
1283,sample_1284,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,-8.49,25,298.15,0.997,,
1284,sample_1285,c1ccc2cc3cc4ccccc4cc3cc2c1,-8.60,25,298.15,0.997,,
1285,sample_1286,Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,-8.65,25,298.15,0.997,,
1286,sample_1287,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,-8.66,25,298.15,0.997,,
1287,sample_1288,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.03,25,298.15,0.997,,
1288,sample_1289,Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-10.26,25,298.15,0.997,,
1289,sample_1290,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,-10.41,25,298.15,0.997,,
1,sample_250_2,O=C(O)c1ccccc1,-0.57,50,323.15,0.990,,
2,sample_250_3,O=C(O)c1ccccc1,-0.21,75,348.15,0.976,,
3,sample_250_4,O=C(O)c1ccccc1,0.37,100,373.15,0.960,,
4,sample_250_5,O=C(O)c1ccccc1,0.83,125,398.15,0.941,,
5,sample_250_6,O=C(O)c1ccccc1,0.92,150,423.15,0.919,,
6,sample_250_7,O=C(O)c1ccccc1,0.94,200,473.15,0.867,,
7,sample_276_2,c1ccccc1,-1.35,100,373.15,0.960,,
8,sample_276_3,c1ccccc1,-1.02,150,423.15,0.919,,
9,sample_276_4,c1ccccc1,-0.59,200,473.15,0.867,,
10,sample_386_2,Cc1ccccc1,-1.76,100,373.15,0.960,,
11,sample_386_3,Cc1ccccc1,-1.32,150,423.15,0.919,,
12,sample_386_4,Cc1ccccc1,-0.86,200,473.15,0.867,,
13,sample_401_2,CCCCCCCC(=O)O,-2.55,60,333.15,0.990,,
14,sample_401_3,CCCCCCCC(=O)O,-2.59,80,353.15,0.978,,
15,sample_401_4,CCCCCCCC(=O)O,-2.22,100,373.15,0.965,,
16,sample_401_5,CCCCCCCC(=O)O,-1.71,120,393.15,0.950,,
17,sample_401_6,CCCCCCCC(=O)O,-1.47,150,423.15,0.925,,
18,sample_401_7,CCCCCCCC(=O)O,-1.20,180,453.15,0.896,,
19,sample_401_8,CCCCCCCC(=O)O,-0.74,200,473.15,0.875,,
20,sample_401_9,CCCCCCCC(=O)O,0.04,230,503.15,0.839,,
21,sample_603_2,CCCCCCCCCC(=O)O,-3.40,60,333.15,0.990,,
22,sample_603_3,CCCCCCCCCC(=O)O,-3.04,80,353.15,0.978,,
23,sample_603_4,CCCCCCCCCC(=O)O,-2.82,100,373.15,0.965,,
24,sample_603_5,CCCCCCCCCC(=O)O,-2.48,120,393.15,0.950,,
25,sample_603_6,CCCCCCCCCC(=O)O,-2.07,150,423.15,0.925,,
26,sample_603_7,CCCCCCCCCC(=O)O,-1.77,180,453.15,0.896,,
27,sample_603_8,CCCCCCCCCC(=O)O,-1.41,200,473.15,0.875,,
28,sample_741_2,CCCCCCCCCCCC(=O)O,-3.97,80,353.15,0.978,,
29,sample_741_3,CCCCCCCCCCCC(=O)O,-3.49,100,373.15,0.965,,
30,sample_741_4,CCCCCCCCCCCC(=O)O,-3.32,120,393.15,0.950,,
31,sample_741_5,CCCCCCCCCCCC(=O)O,-2.92,140,413.15,0.934,,
32,sample_741_6,CCCCCCCCCCCC(=O)O,-2.60,150,423.15,0.925,,
33,sample_741_7,CCCCCCCCCCCC(=O)O,-2.17,180,453.15,0.896,,
34,sample_741_8,CCCCCCCCCCCC(=O)O,-1.82,200,473.15,0.875,,
35,sample_741_9,CCCCCCCCCCCC(=O)O,-1.48,230,503.15,0.839,,
36,sample_786_2,CCCCCCCC,-4.96,50,323.15,0.990,,
37,sample_786_3,CCCCCCCC,-4.40,100,373.15,0.960,,
38,sample_786_4,CCCCCCCC,-3.61,150,423.15,0.919,,
39,sample_786_5,CCCCCCCC,-2.79,200,473.15,0.867,,
40,sample_794_2,CCCCCCCCCCCCCC(=O)O,-5.19,65,338.15,0.987,,
41,sample_794_3,CCCCCCCCCCCCCC(=O)O,-4.76,80,353.15,0.978,,
42,sample_794_4,CCCCCCCCCCCCCC(=O)O,-4.44,100,373.15,0.965,,
43,sample_794_5,CCCCCCCCCCCCCC(=O)O,-3.72,120,393.15,0.950,,
44,sample_794_6,CCCCCCCCCCCCCC(=O)O,-3.24,150,423.15,0.925,,
45,sample_794_7,CCCCCCCCCCCCCC(=O)O,-2.74,180,453.15,0.896,,
46,sample_794_8,CCCCCCCCCCCCCC(=O)O,-2.54,200,473.15,0.875,,
47,sample_794_9,CCCCCCCCCCCCCC(=O)O,-2.22,230,503.15,0.839,,
48,sample_813_2,CCCCCCCCCCCCCCCCCC(=O)O,-4.52,180,453.15,0.896,,
49,sample_813_3,CCCCCCCCCCCCCCCCCC(=O)O,-4.21,200,473.15,0.875,,
50,sample_813_4,CCCCCCCCCCCCCCCCCC(=O)O,-3.29,230,503.15,0.839,,
51,sample_1269_2,CCCCCCCCCCCCCCCC(=O)O,-5.11,150,423.15,0.925,,
52,sample_1269_3,CCCCCCCCCCCCCCCC(=O)O,-3.90,180,453.15,0.896,,
53,sample_1269_4,CCCCCCCCCCCCCCCC(=O)O,-3.22,200,473.15,0.875,,
54,sample_1269_5,CCCCCCCCCCCCCCCC(=O)O,-2.19,230,503.15,0.839,,
,,,,,,,,
,,,,,,,,
